date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-05-16,47.0999985,49.4099998,47.0999985,49.1300011,49.1300011,126300,126300,2.03,4.31,48.54667,"May 16, 18",0.0431
2018-05-15,46.5900002,47.1399994,45.5999985,46.9099998,46.9099998,102800,102800,0.32,0.687,46.55,"May 15, 18",0.00687
2018-05-14,48.0699997,48.2000008,46.2099991,46.9799995,46.9799995,246900,246900,-1.09,-2.268,47.13,"May 14, 18",-0.02268
2018-05-11,49.2000008,52.4399986,47.5699997,48.0900002,48.0900002,219900,219900,-1.11,-2.256,49.36667,"May 11, 18",-0.02256
2018-05-10,48.5699997,50.3600006,48.0209999,48.9700012,48.9700012,169600,169600,0.4,0.824,49.117,"May 10, 18",0.00824
2018-05-09,48.0699997,49.5699997,47.5699997,48.3300018,48.3300018,170200,170200,0.26,0.541,48.49,"May 09, 18",0.00541
2018-05-08,46.2000008,48.7099991,45.6100006,48.2700005,48.2700005,295800,295800,2.07,4.481,47.53,"May 08, 18",0.04481
2018-05-07,45,48.3300018,44.2350006,45.9199982,45.9199982,740200,740200,0.92,2.044,46.16167,"May 07, 18",0.02044
2018-05-04,39.6500015,44.8899994,39.3450012,42.6199989,42.6199989,259800,259800,2.97,7.491,42.285,"May 04, 18",0.07491
2018-05-03,40.2200012,40.2900009,38.0099983,39.8600006,39.8600006,97300,97300,-0.36,-0.895,39.38667,"May 03, 18",-0.00895
2018-05-02,38.9000015,42.4000015,38.8199997,40.1800003,40.1800003,330600,330600,1.28,3.29,40.46667,"May 02, 18",0.0329
2018-05-01,38.3899994,39.5699997,37.9449997,38.9599991,38.9599991,63700,63700,0.57,1.485,38.825,"May 01, 18",0.01485
2018-04-30,40.0699997,40.1100006,37.6100006,38.3499985,38.3499985,193200,193200,-1.72,-4.292,38.69,"April 30, 18",-0.04292
2018-04-27,38.9000015,40.7010002,36.9399986,39.9900017,39.9900017,259900,259900,1.09,2.802,39.21033,"April 27, 18",0.02802
2018-04-26,39.5699997,40.3899994,38.9099998,39.0800018,39.0800018,426800,426800,-0.49,-1.238,39.46,"April 26, 18",-0.01238
2018-04-25,39,39.8699989,38.6599998,39.4300003,39.4300003,116200,116200,0.43,1.103,39.32,"April 25, 18",0.01103
2018-04-24,39.5699997,40.7400017,38.5299988,38.8699989,38.8699989,158300,158300,-0.7,-1.769,39.38,"April 24, 18",-0.01769
2018-04-23,38.9599991,39.6349983,38.5900002,39.1300011,39.1300011,81600,81600,0.17,0.436,39.11833,"April 23, 18",0.00436
2018-04-20,38.25,39.5999985,36.0209999,38.9300003,38.9300003,86100,86100,0.68,1.778,38.18367,"April 20, 18",0.01778
2018-04-19,38.6300011,39.7999992,37.8400002,38.4000015,38.4000015,110900,110900,-0.23,-0.595,38.68,"April 19, 18",-0.00595
2018-04-18,40.5,41.1899986,38.2200012,38.8600006,38.8600006,192500,192500,-1.64,-4.049,39.42333,"April 18, 18",-0.04049
2018-04-17,36.4599991,41.4199982,36.4599991,40.6800003,40.6800003,172900,172900,4.22,11.574,39.52,"April 17, 18",0.11574
