date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-18,6.8099999,6.8499999,6.6599998,6.73,6.6775856,582400,582400,-0.13241,-1.944,6.7292,"October 18, 22",-0.01944
2022-10-17,6.6599998,6.8899999,6.585,6.6900001,6.637897,1991600,1991600,-0.0221,-0.332,6.7043,"October 17, 22",-0.00332
2022-10-14,6.73,6.8000002,6.46,6.5,6.4493771,790900,790900,-0.28062,-4.17,6.56979,"October 14, 22",-0.0417
2022-10-13,6.4000001,6.7849998,6.3600001,6.73,6.6775856,2098300,2098300,0.27759,4.337,6.60753,"October 13, 22",0.04337
2022-10-12,6.7199998,6.7199998,6.4450002,6.5500002,6.4989877,1714600,1714600,-0.22101,-3.289,6.55466,"October 12, 22",-0.03289
2022-10-11,6.73,6.9400001,6.6950002,6.75,6.6974297,867700,867700,-0.03257,-0.484,6.77748,"October 11, 22",-0.00484
2022-10-10,6.6700001,6.8499999,6.6599998,6.79,6.7371182,733400,733400,0.06712,1.006,6.74904,"October 10, 22",0.01006
2022-10-07,6.8600001,6.8899999,6.5250001,6.6300001,6.5783644,1126100,1126100,-0.28164,-4.106,6.66445,"October 07, 22",-0.04106
2022-10-06,6.79,6.9450002,6.7199998,6.9000001,6.8462615,1200500,1200500,0.05626,0.829,6.83709,"October 06, 22",0.00829
2022-10-05,6.8699999,6.8899999,6.6700001,6.79,6.7371182,1089900,1089900,-0.13288,-1.934,6.76571,"October 05, 22",-0.01934
2022-10-04,6.71,7.0100002,6.6999998,6.9400001,6.8859501,1256100,1256100,0.17595,2.622,6.86532,"October 04, 22",0.02622
2022-10-03,6.5500002,6.665,6.4650002,6.5799999,6.5287538,1072000,1072000,-0.02125,-0.324,6.55292,"October 03, 22",-0.00324
2022-09-30,6.5100002,6.6300001,6.3899999,6.4400001,6.3898439,1569800,1569800,-0.12016,-1.846,6.46995,"September 30, 22",-0.01846
2022-09-29,6.71,6.7800002,6.4699998,6.5500002,6.4989877,1780000,1780000,-0.21101,-3.145,6.583,"September 29, 22",-0.03145
2022-09-28,6.5100002,6.8000002,6.21,6.71,6.6577415,4784600,4784600,0.14774,2.269,6.55591,"September 28, 22",0.02269
2022-09-27,7.6399999,7.6999998,7.2550001,7.4200001,7.3622117,1326700,1326700,-0.27779,-3.636,7.43907,"September 27, 22",-0.03636
2022-09-26,7.4450002,7.7750001,7.4250002,7.5599999,7.5011215,1609700,1609700,0.05612,0.754,7.56704,"September 26, 22",0.00754
2022-09-23,7.7600002,7.7600002,7.3850002,7.5,7.4415884,1463100,1463100,-0.31841,-4.103,7.52886,"September 23, 22",-0.04103
2022-09-22,7.8499999,7.98,7.79,7.8200002,7.7590966,1748900,1748900,-0.0909,-1.158,7.84303,"September 22, 22",-0.01158
2022-09-21,8,8.04,7.77,7.7800002,7.719408,1172400,1172400,-0.28059,-3.507,7.84314,"September 21, 22",-0.03507
2022-09-20,8.1800003,8.1800003,7.96,8.0100002,7.9476171,824300,824300,-0.23238,-2.841,8.02921,"September 20, 22",-0.02841
2022-09-19,8.1599998,8.4099998,8.125,8.25,8.1857471,974200,974200,0.02575,0.316,8.24025,"September 19, 22",0.00316
2022-09-16,8.3400002,8.4300003,8.0900002,8.2700005,8.2055922,1993400,1993400,-0.13441,-1.612,8.24186,"September 16, 22",-0.01612
2022-09-15,8.7200003,8.7700005,8.46,8.5,8.4338007,1542500,1542500,-0.2862,-3.282,8.5546,"September 15, 22",-0.03282
2022-09-14,9.1300001,9.1899996,8.6099997,8.7600002,8.6917753,2065300,2065300,-0.43822,-4.8,8.83059,"September 14, 22",-0.048
2022-09-13,9.1049995,9.3699999,9.0950003,9.1300001,9.0588942,583900,583900,-0.04611,-0.506,9.17463,"September 13, 22",-0.00506
2022-09-12,9.6400003,9.6700001,9.3199997,9.3500004,9.2771807,1019300,1019300,-0.36282,-3.764,9.42239,"September 12, 22",-0.03764
2022-09-09,9.2399998,9.5500002,9.2299995,9.5200005,9.445857,930100,930100,0.20586,2.228,9.40862,"September 09, 22",0.02228
2022-09-08,9.0200005,9.21,8.9399996,9.1700001,9.0985823,772900,772900,0.07858,0.871,9.08286,"September 08, 22",0.00871
2022-09-07,8.96,9.085,8.8100004,9.0600004,8.98944,881500,881500,0.02944,0.329,8.96148,"September 07, 22",0.00329
2022-09-06,8.9499998,9.2049999,8.8699999,9.0100002,8.9398289,1162600,1162600,-0.01017,-0.114,9.00494,"September 06, 22",-0.00114
2022-09-02,8.8100004,9.0100002,8.7849998,8.8699999,8.8009186,1088500,1088500,-0.00908,-0.103,8.86531,"September 02, 22",-0.00103
2022-09-01,9,9.0200005,8.6099997,8.7299995,8.6620083,1986600,1986600,-0.33799,-3.755,8.764,"September 01, 22",-0.03755
2022-08-31,9.3100004,9.3100004,9.0699997,9.1199999,9.0489721,883600,883600,-0.26103,-2.804,9.14299,"August 31, 22",-0.02804
2022-08-30,9.6099997,9.6099997,9.1400003,9.3400002,9.2672586,1734900,1734900,-0.34274,-3.566,9.33909,"August 30, 22",-0.03566
2022-08-29,9.5699997,9.6599998,9.5150003,9.5500002,9.426012,1006700,1006700,-0.14399,-1.505,9.53367,"August 29, 22",-0.01505
2022-08-26,9.9200001,9.9200001,9.5249996,9.6300001,9.5049744,1193600,1193600,-0.41503,-4.184,9.64999,"August 26, 22",-0.04184
2022-08-25,9.8299999,9.9420004,9.6599998,9.8500004,9.7221174,1176500,1176500,-0.10788,-1.097,9.77471,"August 25, 22",-0.01097
2022-08-24,9.4399996,9.8000002,9.3299999,9.79,9.6628962,2091700,2091700,0.2229,2.361,9.59763,"August 24, 22",0.02361
2022-08-23,8.8599997,9.3450003,8.8400002,9.3199997,9.1989975,1609200,1609200,0.339,3.826,9.128,"August 23, 22",0.03826
2022-08-22,8.9499998,8.96,8.7349997,8.79,8.6758785,1079900,1079900,-0.27412,-3.063,8.79029,"August 22, 22",-0.03063
2022-08-19,9.2799997,9.2799997,9.0100002,9.0600004,8.9423752,893000,893000,-0.33762,-3.638,9.07746,"August 19, 22",-0.03638
2022-08-18,9.5,9.5799999,9.3100004,9.3500004,9.2286091,947000,947000,-0.27139,-2.857,9.37287,"August 18, 22",-0.02857
2022-08-17,9.6499996,9.6499996,9.2799997,9.4499998,9.3273106,1767000,1767000,-0.32269,-3.344,9.4191,"August 17, 22",-0.03344
2022-08-16,9.5200005,9.7399998,9.5200005,9.7399998,9.6135445,2039500,2039500,0.09354,0.983,9.62451,"August 16, 22",0.00983
2022-08-15,9.3800001,9.5150003,9.2150002,9.5,9.3766613,1821000,1821000,-0.00334,-0.036,9.36889,"August 15, 22",-0.00036
2022-08-12,9.3299999,9.5050001,9.3299999,9.4799995,9.3569212,2433100,2433100,0.02692,0.289,9.39731,"August 12, 22",0.00289
2022-08-11,9.3999996,9.5699997,9.2950001,9.3299999,9.208869,1429300,1429300,-0.19113,-2.033,9.35796,"August 11, 22",-0.02033
2022-08-10,9.1000004,9.4650002,8.8999996,9.3699999,9.2483492,2741400,2741400,0.14835,1.63,9.20445,"August 10, 22",0.0163
2022-08-09,9.0900002,9.1099997,8.79,9,8.883153,2301000,2301000,-0.20685,-2.276,8.92772,"August 09, 22",-0.02276
2022-08-08,9.5100002,9.5200005,9.0799999,9.1099997,8.991724,2383500,2383500,-0.51828,-5.45,9.19724,"August 08, 22",-0.0545
2022-08-05,9.1999998,9.5150003,9.1000004,9.3999996,9.2779598,2667900,2667900,0.07796,0.847,9.29765,"August 05, 22",0.00847
2022-08-04,9.0200005,9.3000002,8.9300003,9.2299995,9.1101665,3282200,3282200,0.09017,1,9.11339,"August 04, 22",0.01
2022-08-03,9.1300001,9.1400003,8.7299995,8.8999996,8.7844505,2310200,2310200,-0.34555,-3.785,8.88482,"August 03, 22",-0.03785
2022-08-02,9.29,9.3500004,9,9.0200005,8.9028931,1520100,1520100,-0.38711,-4.167,9.0843,"August 02, 22",-0.04167
2022-08-01,9.3800001,9.4350004,9.21,9.3199997,9.1989975,2077200,2077200,-0.181,-1.93,9.28133,"August 01, 22",-0.0193
2022-07-29,9.2600002,9.2799997,9.0500002,9.1999998,9.0805559,2005500,2005500,-0.17944,-1.938,9.13685,"July 29, 22",-0.01938
2022-07-28,9.3199997,9.5100002,9.0799999,9.1999998,9.0805559,3810400,3810400,-0.23944,-2.569,9.22352,"July 28, 22",-0.02569
2022-07-27,9.3900003,9.5,9.25,9.4200001,9.2977009,2071700,2071700,-0.0923,-0.983,9.34923,"July 27, 22",-0.00983
2022-07-26,9.54,9.6099997,9.3299999,9.3299999,9.208869,5081200,5081200,-0.33113,-3.471,9.38296,"July 26, 22",-0.03471
2022-07-25,9.54,9.7200003,9.5200005,9.5600004,9.4358826,7375000,7375000,-0.10412,-1.091,9.55863,"July 25, 22",-0.01091
2022-07-22,9.5799999,9.6199999,9.4499998,9.4700003,9.3470507,3809900,3809900,-0.23295,-2.432,9.47235,"July 22, 22",-0.02432
2022-07-21,9.4700003,9.6199999,9.4099998,9.5500002,9.426012,4098200,4098200,-0.04399,-0.465,9.48534,"July 21, 22",-0.00465
2022-07-20,9.46,9.6300001,9.4399996,9.46,9.3371811,3174500,3174500,-0.12282,-1.298,9.46906,"July 20, 22",-0.01298
2022-07-19,9.3999996,9.6000004,9.3599997,9.46,9.3371811,5302500,5302500,-0.06282,-0.668,9.43239,"July 19, 22",-0.00668
2022-07-18,9.1000004,9.6499996,9.1000004,9.3599997,9.2384787,4406600,4406600,0.13848,1.522,9.32949,"July 18, 22",0.01522
2022-07-15,9.0900002,9.1949997,8.8999996,9.1300001,9.0114651,1687500,1687500,-0.07854,-0.864,9.03549,"July 15, 22",-0.00864
2022-07-14,8.96,9.0799999,8.8199997,9,8.883153,2363800,2363800,-0.07685,-0.858,8.92772,"July 14, 22",-0.00858
2022-07-13,8.8800001,9.1149998,8.8500004,9.0299997,8.9127636,2439100,2439100,0.03276,0.369,8.95925,"July 13, 22",0.00369
2022-07-12,9,9.1099997,8.8900003,8.9499998,8.8338022,2393000,2393000,-0.1662,-1.847,8.9446,"July 12, 22",-0.01847
2022-07-11,9.0600004,9.1450005,9.0050001,9.0299997,8.9127636,2025300,2025300,-0.14724,-1.625,9.02092,"July 11, 22",-0.01625
2022-07-08,9.1199999,9.21,9.0450001,9.1700001,9.0509453,1596600,1596600,-0.06905,-0.757,9.10198,"July 08, 22",-0.00757
2022-07-07,9.1899996,9.2399998,9.0249996,9.1400003,9.0213356,1716800,1716800,-0.16866,-1.835,9.09544,"July 07, 22",-0.01835
2022-07-06,8.8199997,9.0600004,8.8199997,9.0299997,8.9127636,1770900,1770900,0.09276,1.052,8.93092,"July 06, 22",0.01052
2022-07-05,8.9899998,8.9899998,8.7600002,8.8699999,8.7548409,2256400,2256400,-0.23516,-2.616,8.83495,"July 05, 22",-0.02616
2022-07-01,8.9499998,9.2950001,8.9099998,9.1999998,9.0805559,1700100,1700100,0.13056,1.459,9.09519,"July 01, 22",0.01459
2022-06-30,9.0900002,9.1300001,8.8500004,8.9799995,8.8634119,1738100,1738100,-0.22659,-2.493,8.9478,"June 30, 22",-0.02493
