date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-08-15,4.6900001,4.71,4.5,4.5300002,4.5300002,341500,341500,-0.16,-3.412,4.58,"August 15, 22",-0.03412
2022-08-12,4.5900002,4.7199998,4.48,4.7199998,4.7199998,282400,282400,0.13,2.832,4.64,"August 12, 22",0.02832
2022-08-11,4.46,4.7750001,4.4400001,4.5700002,4.5700002,481000,481000,0.11,2.466,4.595,"August 11, 22",0.02466
2022-08-10,4.2800002,4.4200001,4.2800002,4.4200001,4.4200001,407500,407500,0.14,3.271,4.37333,"August 10, 22",0.03271
2022-08-09,4.4099998,4.4099998,4.2600002,4.3099999,4.3099999,303200,303200,-0.1,-2.268,4.32667,"August 09, 22",-0.02268
2022-08-08,4.54,4.5799999,4.3600001,4.3600001,4.3600001,324800,324800,-0.18,-3.965,4.43333,"August 08, 22",-0.03965
2022-08-05,4.5500002,4.6199999,4.4200001,4.54,4.54,537000,537000,-0.01,-0.22,4.52667,"August 05, 22",-0.0022
2022-08-04,4.5500002,4.8299999,4.5500002,4.5900002,4.5900002,641800,641800,0.04,0.879,4.65667,"August 04, 22",0.00879
2022-08-03,4.4899998,4.5900002,4.3299999,4.54,4.54,337600,337600,0.05,1.114,4.48667,"August 03, 22",0.01114
2022-08-02,4.0999999,4.4549999,4.0999999,4.4499998,4.4499998,654400,654400,0.35,8.537,4.335,"August 02, 22",0.08537
2022-08-01,4.1599998,4.2399998,4.0999999,4.1700001,4.1700001,444100,444100,0.01,0.24,4.17,"August 01, 22",0.0024
2022-07-29,4.25,4.2600002,4.1500001,4.1900001,4.1900001,345000,345000,-0.06,-1.412,4.2,"July 29, 22",-0.01412
2022-07-28,4.4299998,4.54,4.2550001,4.27,4.27,660700,660700,-0.16,-3.612,4.355,"July 28, 22",-0.03612
2022-07-27,4.52,4.5700002,4.3000002,4.4200001,4.4200001,822200,822200,-0.1,-2.212,4.43,"July 27, 22",-0.02212
2022-07-26,4.6300001,4.6799998,4.46,4.46,4.46,362500,362500,-0.17,-3.672,4.53333,"July 26, 22",-0.03672
2022-07-25,4.6199999,4.6700001,4.5799999,4.5999999,4.5999999,337800,337800,-0.02,-0.433,4.61667,"July 25, 22",-0.00433
2022-07-22,4.6100001,4.6500001,4.5300002,4.6399999,4.6399999,442700,442700,0.03,0.651,4.60667,"July 22, 22",0.00651
2022-07-21,4.5799999,4.6799998,4.4299998,4.5900002,4.5900002,662600,662600,0.01,0.218,4.56667,"July 21, 22",0.00218
2022-07-20,4.6700001,4.7600002,4.4099998,4.5,4.5,772400,772400,-0.17,-3.64,4.55667,"July 20, 22",-0.0364
2022-07-19,4.54,4.7600002,4.3699999,4.6599998,4.6599998,1088700,1088700,0.12,2.643,4.59667,"July 19, 22",0.02643
2022-07-18,4.6399999,4.6700001,4.4099998,4.4899998,4.4899998,925700,925700,-0.15,-3.233,4.52333,"July 18, 22",-0.03233
2022-07-15,4.48,4.5599999,4.25,4.5599999,4.5599999,1062100,1062100,0.08,1.786,4.45667,"July 15, 22",0.01786
2022-07-14,4.8099999,4.8600001,4.48,4.48,4.48,297900,297900,-0.33,-6.861,4.60667,"July 14, 22",-0.06861
2022-07-13,4.6300001,4.8400002,4.6300001,4.8099999,4.8099999,517500,517500,0.18,3.888,4.76,"July 13, 22",0.03888
2022-07-12,4.5100002,4.79,4.4450002,4.77,4.77,685600,685600,0.26,5.765,4.66833,"July 12, 22",0.05765
2022-07-11,4.4099998,4.5300002,4.3299999,4.5100002,4.5100002,587500,587500,0.1,2.268,4.45667,"July 11, 22",0.02268
2022-07-08,4.8000002,4.8000002,4.4299998,4.4400001,4.4400001,634700,634700,-0.36,-7.5,4.55667,"July 08, 22",-0.075
2022-07-07,4.7600002,4.8600001,4.7420001,4.8200002,4.8200002,411800,411800,0.06,1.261,4.80733,"July 07, 22",0.01261
2022-07-06,4.7399998,4.8000002,4.5609999,4.6999998,4.6999998,330300,330300,-0.04,-0.844,4.687,"July 06, 22",-0.00844
2022-07-05,4.8499999,4.8499999,4.6999998,4.7800002,4.7800002,350700,350700,-0.07,-1.443,4.77667,"July 05, 22",-0.01443
2022-07-01,4.7199998,4.9499998,4.6300001,4.9099998,4.9099998,1113600,1113600,0.19,4.025,4.83,"July 01, 22",0.04025
2022-06-30,4.5300002,4.75,4.5300002,4.75,4.75,392100,392100,0.22,4.857,4.67667,"June 30, 22",0.04857
2022-06-29,4.5500002,4.6399999,4.54,4.6399999,4.6399999,1529900,1529900,0.09,1.978,4.60667,"June 29, 22",0.01978
2022-06-28,4.6999998,4.73,4.52,4.52,4.52,503200,503200,-0.18,-3.83,4.59,"June 28, 22",-0.0383
2022-06-27,4.8000002,4.8499999,4.6700001,4.71,4.71,275400,275400,-0.09,-1.875,4.74333,"June 27, 22",-0.01875
2022-06-24,4.6399999,4.8000002,4.6100001,4.75,4.75,380800,380800,0.11,2.371,4.72,"June 24, 22",0.02371
2022-06-23,4.5799999,4.73,4.5,4.5500002,4.5500002,237700,237700,-0.03,-0.655,4.59333,"June 23, 22",-0.00655
2022-06-22,4.5999999,4.71,4.52,4.5500002,4.5500002,331100,331100,-0.05,-1.087,4.59333,"June 22, 22",-0.01087
2022-06-21,4.5700002,4.73,4.54,4.71,4.71,471900,471900,0.14,3.063,4.66,"June 21, 22",0.03063
2022-06-17,4.5100002,4.585,4.4250002,4.5100002,4.5100002,887300,887300,0,0,4.50667,"June 17, 22",0
2022-06-16,4.4000001,4.52,4.2399998,4.3600001,4.3600001,494600,494600,-0.04,-0.909,4.37333,"June 16, 22",-0.00909
2022-06-15,4.5300002,4.6700001,4.4250002,4.6199999,4.6199999,407700,407700,0.09,1.987,4.57167,"June 15, 22",0.01987
2022-06-14,4.27,4.5900002,4.2600002,4.46,4.46,528000,528000,0.19,4.45,4.43667,"June 14, 22",0.0445
2022-06-13,4.3699999,4.4499998,4.1199999,4.1799998,4.1799998,565600,565600,-0.19,-4.348,4.25,"June 13, 22",-0.04348
2022-06-10,4.5100002,4.5949998,4.3600001,4.5100002,4.5100002,650900,650900,0,0,4.48833,"June 10, 22",0
2022-06-09,4.3800001,4.54,4.3699999,4.52,4.52,539900,539900,0.14,3.196,4.47667,"June 09, 22",0.03196
2022-06-08,4.3400002,4.5599999,4.2399998,4.5,4.5,608300,608300,0.16,3.687,4.43333,"June 08, 22",0.03687
2022-06-07,4.3800001,4.3800001,4.0799999,4.2600002,4.2600002,1002900,1002900,-0.12,-2.74,4.24,"June 07, 22",-0.0274
2022-06-06,4.2199998,4.3899999,4.1799998,4.3699999,4.3699999,625100,625100,0.15,3.555,4.31333,"June 06, 22",0.03555
2022-06-03,4.23,4.27,4,4.0100002,4.0100002,531900,531900,-0.22,-5.201,4.09333,"June 03, 22",-0.05201
2022-06-02,4.48,4.5100002,4.21,4.3200002,4.3200002,654200,654200,-0.16,-3.571,4.34667,"June 02, 22",-0.03571
2022-06-01,4.3000002,4.8699999,4.3000002,4.52,4.52,1377800,1377800,0.22,5.116,4.56333,"June 01, 22",0.05116
